Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8646659116647791,0.3478260869565217,0.2436548223350254,0.9426386233269598,0.2865671641791044,0.2185120627777189
"LR:0.0001, Dropout:0.7",0.8708946772366931,0.371900826446281,0.2284263959390862,0.951561504142766,0.2830188679245283,0.2242912124737274
"LR:0.0001, Dropout:0.8",0.861268403171008,0.3378378378378378,0.2538071065989847,0.9375398342893564,0.2898550724637681,0.2173932183356428
"LR:0.0001, Dropout:0.9",0.8793884484711212,0.4047619047619047,0.1725888324873096,0.9681325685149776,0.2419928825622776,0.2081383447054963
"LR:0.001, Dropout:0.6",0.869762174405436,0.3740458015267175,0.248730964467005,0.9477374123645634,0.298780487804878,0.2360166901908689
"LR:0.001, Dropout:0.7",0.8691959229898075,0.3712121212121212,0.248730964467005,0.947100063734863,0.2978723404255319,0.2344299513013391
"LR:0.001, Dropout:0.8",0.869762174405436,0.368,0.233502538071066,0.9496494582536648,0.2857142857142857,0.2248262126751661
"LR:0.001, Dropout:0.9",0.8742921857304643,0.3595505617977528,0.1624365482233502,0.9636711281070746,0.2237762237762237,0.1814782462264119
"LR:0.01, Dropout:0.6",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8884484711211778,,0.0,1.0,,
