Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8686296715741789,0.3504273504273504,0.2081218274111675,0.951561504142766,0.2611464968152866,0.2021161007221191
"LR:0.0001, Dropout:0.7",0.8629671574178935,0.3255813953488372,0.2131979695431472,0.9445506692160612,0.2576687116564417,0.1908494929046411
"LR:0.0001, Dropout:0.8",0.8714609286523216,0.3611111111111111,0.1979695431472081,0.9560229445506692,0.2557377049180327,0.202320541612426
"LR:0.0001, Dropout:0.9",0.8754246885617214,0.3814432989690721,0.1878172588832487,0.9617590822179732,0.2517006802721088,0.206677621446935
"LR:0.001, Dropout:0.6",0.8691959229898075,0.360655737704918,0.2233502538071066,0.9502868068833652,0.2758620689655173,0.2155540506643656
"LR:0.001, Dropout:0.7",0.8680634201585504,0.3392857142857143,0.1928934010152284,0.952836201402167,0.2459546925566342,0.1882415980147453
"LR:0.001, Dropout:0.8",0.8708946772366931,0.371900826446281,0.2284263959390862,0.951561504142766,0.2830188679245283,0.2242912124737274
"LR:0.001, Dropout:0.9",0.8754246885617214,0.3580246913580246,0.1472081218274111,0.9668578712555768,0.2086330935251798,0.1716557314375981
"LR:0.01, Dropout:0.6",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8884484711211778,,0.0,1.0,,
