Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8804322832835134,0.4782096584216725,0.4047856430707876,0.9424301494476932,0.4384449244060475,0.3736743080825447
"LR:0.0001, Dropout:0.7",0.8808921591170384,0.4790874524714829,0.3768693918245264,0.946588693957115,0.421875,0.3597273855295918
"LR:0.0001, Dropout:0.8",0.8903196137042998,0.5360824742268041,0.3629112662013958,0.95906432748538,0.4328180737217598,0.3833387632552427
"LR:0.0001, Dropout:0.9",0.893308806622212,0.5673249551166966,0.3150548354935194,0.9686809616634178,0.4051282051282051,0.370171036573204
"LR:0.001, Dropout:0.6",0.8850310416187629,0.5021097046413502,0.3559322033898305,0.9539961013645224,0.4165694282380396,0.3613178162682081
"LR:0.001, Dropout:0.7",0.890434582662681,0.5390625,0.3439680957128614,0.9616634178037686,0.4199634814363968,0.3738946854993608
"LR:0.001, Dropout:0.8",0.8918142101632559,0.5516666666666666,0.3300099700897308,0.9650422352176738,0.412975670617592,0.3718682775797599
"LR:0.001, Dropout:0.9",0.8951483099563118,0.5866666666666667,0.3070787637088734,0.971799870045484,0.4031413612565445,0.374024128402364
"LR:0.01, Dropout:0.6",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8846861347436192,,0.0,1.0,,
