Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8686296715741789,0.366412213740458,0.2436548223350254,0.947100063734863,0.2926829268292683,0.2291530961572912
"LR:0.0001, Dropout:0.7",0.8748584371460929,0.3723404255319149,0.1776649746192893,0.9623964308476736,0.2405498281786941,0.1964178719922799
"LR:0.0001, Dropout:0.8",0.8748584371460929,0.375,0.182741116751269,0.9617590822179732,0.2457337883959044,0.2006407663164389
"LR:0.0001, Dropout:0.9",0.8759909399773499,0.3658536585365853,0.1522842639593908,0.9668578712555768,0.2150537634408602,0.178251007890046
"LR:0.001, Dropout:0.6",0.869762174405436,0.3700787401574803,0.2385786802030456,0.9490121096239644,0.2901234567901234,0.2285939644457233
"LR:0.001, Dropout:0.7",0.8708946772366931,0.3675213675213675,0.2182741116751269,0.952836201402167,0.2738853503184713,0.2165795824521782
"LR:0.001, Dropout:0.8",0.883352208380521,0.4415584415584415,0.1725888324873096,0.9725940089228808,0.2481751824817518,0.2238204112285754
"LR:0.001, Dropout:0.9",0.8810872027180068,0.3934426229508196,0.1218274111675127,0.9764181007010836,0.1860465116279069,0.1693675461625599
"LR:0.01, Dropout:0.6",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8884484711211778,,0.0,1.0,,
