Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.5",0.8813520349505634,0.4818523153942428,0.3838484546360917,0.9461988304093568,0.4273029966703662,0.3649820419971779
"LR:0.0001, Dropout:0.6",0.8837663830765693,0.4948717948717949,0.3848454636091725,0.9487979207277452,0.432978126752664,0.3729771674290032
"LR:0.0001, Dropout:0.7",0.886525638077719,0.5106666666666667,0.3818544366899302,0.9523066926575698,0.4369652025099828,0.3802341745985493
"LR:0.0001, Dropout:0.8",0.882616693492757,0.4885786802030457,0.3838484546360917,0.9476283300844704,0.4299274148520379,0.368855739587504
"LR:0.0001, Dropout:0.9",0.8866406070361003,0.5118881118881119,0.3649052841475573,0.9546458739441196,0.4260768335273574,0.3715857825700485
"LR:0.001, Dropout:0.5",0.8850310416187629,0.5022354694485842,0.3359920239282153,0.956595191682911,0.4026284348864994,0.3502452329917219
"LR:0.001, Dropout:0.6",0.8852609795355254,0.5032594524119948,0.3848454636091725,0.9504873294346978,0.4361581920903954,0.3777192754530524
"LR:0.001, Dropout:0.7",0.8951483099563118,0.5780445969125214,0.3359920239282153,0.9680311890838208,0.424968474148802,0.3883139418952256
"LR:0.001, Dropout:0.8",0.8888250172453438,0.5260869565217391,0.361914257228315,0.957504873294347,0.4288245717660957,0.3775105770599201
"LR:0.001, Dropout:0.9",0.8910094274545872,0.5454545454545454,0.32901296111665,0.9642625081221572,0.4104477611940298,0.3682121029114238
"LR:0.01, Dropout:0.5",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.6",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8846861347436192,,0.0,1.0,,
