Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.5",0.8680634201585504,0.3676470588235294,0.2538071065989847,0.9451880178457616,0.3003003003003003,0.2349761395392654
"LR:0.0001, Dropout:0.6",0.8601359003397508,0.3287671232876712,0.2436548223350254,0.9375398342893564,0.2798833819241982,0.2071362149557414
"LR:0.0001, Dropout:0.7",0.8618346545866364,0.3401360544217687,0.2538071065989847,0.9381771829190568,0.2906976744186046,0.2187903605872439
"LR:0.0001, Dropout:0.8",0.8561721404303511,0.3137254901960784,0.2436548223350254,0.9330783938814532,0.2742857142857143,0.1977879670643907
"LR:0.0001, Dropout:0.9",0.8657984144960362,0.3765432098765432,0.3096446700507614,0.935627788400255,0.3398328690807799,0.2675060938604723
"LR:0.001, Dropout:0.5",0.861268403171008,0.3309859154929577,0.2385786802030456,0.9394518801784576,0.2772861356932153,0.2061113743070791
"LR:0.001, Dropout:0.6",0.8720271800679502,0.3893129770992366,0.2588832487309644,0.9490121096239644,0.3109756097560975,0.2497438782580244
"LR:0.001, Dropout:0.7",0.8680634201585504,0.3548387096774194,0.2233502538071066,0.9490121096239644,0.2741433021806854,0.2123682588502029
"LR:0.001, Dropout:0.8",0.8720271800679502,0.3909774436090225,0.2639593908629442,0.948374760994264,0.3151515151515152,0.253306027327201
"LR:0.001, Dropout:0.9",0.8799546998867497,0.4074074074074074,0.1675126903553299,0.9694072657743786,0.237410071942446,0.2060482233363755
"LR:0.01, Dropout:0.5",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.6",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8884484711211778,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8884484711211778,,0.0,1.0,,
