Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.5",0.8834214762014256,0.4930817610062893,0.390827517447657,0.9476283300844704,0.4360400444938821,0.3751260682153884
"LR:0.0001, Dropout:0.6",0.882616693492757,0.4887218045112781,0.3888334995014955,0.9469785575048733,0.4330927262631871,0.3715660899050332
"LR:0.0001, Dropout:0.7",0.8804322832835134,0.4775757575757576,0.3928215353938185,0.9439896036387264,0.4310722100656455,0.3671505005794588
"LR:0.0001, Dropout:0.8",0.8837663830765693,0.494910941475827,0.3878364905284147,0.948408057179987,0.4348798211291224,0.3745895151049395
"LR:0.0001, Dropout:0.9",0.8838813520349506,0.4959443800695249,0.4267198404785643,0.9434697855750488,0.4587352625937834,0.3955069546020085
"LR:0.001, Dropout:0.5",0.8834214762014256,0.4926372155287818,0.3668993020937188,0.9507472384665367,0.4205714285714285,0.3620993379927156
"LR:0.001, Dropout:0.6",0.8902046447459186,0.5342857142857143,0.3728813559322034,0.9576348278102664,0.4392248972401644,0.3880679605864959
"LR:0.001, Dropout:0.7",0.8896297999540124,0.530239099859353,0.3758723828514456,0.956595191682911,0.439906651108518,0.387594344136954
"LR:0.001, Dropout:0.8",0.8910094274545872,0.5375170532060027,0.3928215353938185,0.955945419103314,0.4539170506912442,0.4010007918534493
"LR:0.001, Dropout:0.9",0.8945734651644056,0.5767857142857142,0.3220338983050847,0.9692007797270956,0.4133077415227127,0.3790050603549403
"LR:0.01, Dropout:0.5",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.6",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8846861347436192,,0.0,1.0,,
