Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8857208553690503,0.5067873303167421,0.3349950149551346,0.957504873294347,0.4033613445378151,0.352071425215267
"LR:0.0001, Dropout:0.7",0.8833065072430444,0.4923857868020304,0.386839481555334,0.9480181936322288,0.4332774986041317,0.3726178759154556
"LR:0.0001, Dropout:0.8",0.8853759484939067,0.503968253968254,0.3798604187437687,0.9512670565302144,0.4332006822057987,0.3754258366453655
"LR:0.0001, Dropout:0.9",0.8915842722464934,0.5476190476190477,0.3439680957128614,0.9629629629629628,0.4225352112676055,0.3782181765238631
"LR:0.001, Dropout:0.6",0.8864106691193377,0.5103163686382394,0.3698903290129611,0.9537361923326836,0.4289017341040463,0.3734868140306538
"LR:0.001, Dropout:0.7",0.8884801103702,0.5244444444444445,0.3529411764705882,0.9582846003898636,0.4219308700834326,0.3715438318022596
"LR:0.001, Dropout:0.8",0.8875603587031502,0.5177304964539007,0.3639082751744765,0.9558154645873944,0.4274004683840749,0.3741796787745269
"LR:0.001, Dropout:0.9",0.8900896757875374,0.5366614664586583,0.3429710867397806,0.9614035087719298,0.4184914841849148,0.3720895587740232
"LR:0.01, Dropout:0.6",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8846861347436192,,0.0,1.0,,
