Model,Accuracy,Precision,Recall,Specificity,F1,MCC
"LR:0.0001, Dropout:0.6",0.8839963209933318,0.49609375,0.3798604187437687,0.9497076023391812,0.4302653867871259,0.371007457374027
"LR:0.0001, Dropout:0.7",0.8871004828696252,0.5151515151515151,0.3559322033898305,0.956335282651072,0.4209905660377358,0.3683275973569149
"LR:0.0001, Dropout:0.8",0.8851460105771441,0.5024937655860349,0.4017946161515454,0.9481481481481482,0.4465373961218837,0.3863323205596921
"LR:0.0001, Dropout:0.9",0.8929638997470682,0.5618556701030928,0.3260219341974077,0.9668615984405458,0.4126182965299684,0.3743839493066767
"LR:0.001, Dropout:0.6",0.8876753276615313,0.5177111716621253,0.3788634097706879,0.9539961013645224,0.4375359815774324,0.3824741551298449
"LR:0.001, Dropout:0.7",0.8887100482869625,0.5252525252525253,0.3629112662013958,0.9572449642625082,0.4292452830188679,0.3776325759710067
"LR:0.001, Dropout:0.8",0.8885950793285813,0.5235457063711911,0.3768693918245264,0.9552956465237168,0.4382608695652175,0.3845453166737489
"LR:0.001, Dropout:0.9",0.8928489307886871,0.5602716468590832,0.32901296111665,0.966341780376868,0.414572864321608,0.3754545988064705
"LR:0.01, Dropout:0.6",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.7",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.8",0.8846861347436192,,0.0,1.0,,
"LR:0.01, Dropout:0.9",0.8846861347436192,,0.0,1.0,,
